# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 100.0 d   T_phot: 3783.656914559422 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 0.0000e+00 erg/s   peak F = nan @ Δv = +28.7 km/s   EW = +nan Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81        nan              nan              nan       +nan        +nan          nan     -4600.1
  HI      Hbeta            4861.33        nan              nan              nan       +nan        +nan          nan     -4600.1
  HI      Hgamma           4340.47        nan              nan              nan       +nan        +nan          nan     -4600.1
  HI      Palpha          18751.01        nan              nan              nan       +nan        +nan          nan     -4600.1
  HI      Pbeta           12818.08        nan              nan              nan       +nan        +nan          nan     -4600.1
# --- He I ---
  HeI     He_I_5876        5875.62        nan       6.7172e+35       6.7172e+35      -0.05       -0.05        1.031        +0.0
  HeI     He_I_6678        6678.15        nan       2.8244e+35       2.8244e+35      +0.00       +0.00        1.000     +3180.1
  HeI     He_I_7065        7065.19        nan       3.5374e+35       3.5374e+35      +0.02       +0.02        1.006     +3660.1
  HeI     He_I_10830      10830.34        nan       5.2664e+37       5.2664e+37     -10.11      -10.11        2.421        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42        nan              nan              nan      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_3203       3203.10        nan              nan              nan      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_4686       4685.71        nan              nan              nan      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_10124     10123.60        nan              nan              nan      -0.00       -0.00        1.000     -5000.1
